date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-03-01,bef,21,15.514,11,1,5.103999999999999,0.7387619047619047,0.243047619047619,24,joint,rf,2023-10-18,-231
2023-04-30,bef,21,13.187999999999999,2,1,3.9979999999999998,0.6279999999999999,0.19038095238095237,24,joint,rf,2023-10-18,-171
2023-05-15,bef,21,13.639,5,1,4.146999999999999,0.6494761904761904,0.19747619047619044,24,joint,rf,2023-10-18,-156
2023-06-04,bef,21,13.12,3,1,4.107,0.6247619047619047,0.1955714285714286,24,joint,rf,2023-10-18,-136
2023-06-09,bef,21,13.477999999999998,3,1,4.558000000000001,0.6418095238095237,0.21704761904761907,24,joint,rf,2023-10-18,-131
2023-06-24,bef,21,13.332999999999998,4,1,5.079,0.6349047619047619,0.24185714285714285,24,joint,rf,2023-10-18,-116
2023-07-09,bef,21,15.306,12,1,5.45,0.7288571428571429,0.25952380952380955,24,joint,rf,2023-10-18,-101
2023-07-19,bef,21,16.535,14,1,5.816000000000001,0.7873809523809524,0.276952380952381,24,joint,rf,2023-10-18,-91
2023-08-03,bef,21,17.263,19,1,6.913,0.8220476190476191,0.3291904761904762,24,joint,rf,2023-10-18,-76
2023-08-23,bef,21,16.661,17,1,5.7170000000000005,0.7933809523809524,0.2722380952380953,24,joint,rf,2023-10-18,-56
2023-10-12,evt,21,19.508,21,1,16.849,0.9289523809523809,0.8023333333333333,24,joint,rf,2023-10-18,-6
2023-11-11,aft,21,19.27,21,1,16.489,0.9176190476190476,0.7851904761904762,24,joint,rf,2023-10-18,24
