date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,12,4.571166666666667,0,1,1.2211666666666667,0.38093055555555555,0.10176388888888889,374,optical,rf,2023-09-19,-142
2023-05-15,bef,20230515T142711_20230515T142713_T20LNR,12,5.299666666666667,1,1,1.6146666666666667,0.4416388888888889,0.13455555555555557,374,optical,rf,2023-09-19,-127
2023-05-20,bef,20230520T142719_20230520T142902_T20LNR,12,4.968000000000001,0,1,1.4110000000000003,0.4140000000000001,0.11758333333333336,374,optical,rf,2023-09-19,-122
2023-06-04,bef,20230604T142721_20230604T142716_T20LNR,12,5.26,0,1,1.442,0.4383333333333333,0.12016666666666666,374,optical,rf,2023-09-19,-107
2023-06-09,bef,20230609T142719_20230609T142938_T20LNR,12,5.216499999999999,0,1,1.3735000000000002,0.43470833333333325,0.11445833333333334,374,optical,rf,2023-09-19,-102
2023-06-19,bef,20230619T142719_20230619T142934_T20LNR,12,5.276,0,1,1.311,0.43966666666666665,0.10925,374,optical,rf,2023-09-19,-92
2023-06-24,bef,20230624T142721_20230624T142715_T20LNR,12,5.694,0,1,1.4120000000000001,0.4745,0.11766666666666668,374,optical,rf,2023-09-19,-87
2023-06-29,bef,20230629T142719_20230629T143340_T20LNR,12,5.196,0,1,1.27,0.433,0.10583333333333333,374,optical,rf,2023-09-19,-82
2023-07-04,bef,20230704T142721_20230704T142729_T20LNR,12,5.605499999999999,0,1,1.3984999999999999,0.46712499999999996,0.11654166666666665,374,optical,rf,2023-09-19,-77
2023-07-09,bef,20230709T142719_20230709T142938_T20LNR,12,5.151,0,1,1.4010000000000002,0.42924999999999996,0.11675000000000002,374,optical,rf,2023-09-19,-72
2023-07-14,bef,20230714T142721_20230714T142941_T20LNR,12,5.638,0,1,1.332,0.4698333333333333,0.111,374,optical,rf,2023-09-19,-67
2023-07-19,bef,20230719T142719_20230719T142939_T20LNR,12,5.2413333333333325,0,1,1.3153333333333332,0.4367777777777777,0.1096111111111111,374,optical,rf,2023-09-19,-62
2023-07-24,bef,20230724T142721_20230724T142717_T20LNR,12,5.6894,0,1,1.3284000000000002,0.4741166666666667,0.11070000000000002,374,optical,rf,2023-09-19,-57
2023-07-29,bef,20230729T142719_20230729T142718_T20LNR,12,5.753416666666666,0,1,1.1624166666666667,0.4794513888888889,0.09686805555555555,374,optical,rf,2023-09-19,-52
2023-08-08,bef,20230808T142719_20230808T143119_T20LNR,12,5.301,0,1,1.021,0.44175000000000003,0.08508333333333333,374,optical,rf,2023-09-19,-42
2023-08-23,bef,20230823T142721_20230823T143116_T20LNR,12,6.1658333333333335,2,1,1.4278333333333333,0.5138194444444445,0.11898611111111111,374,optical,rf,2023-09-19,-27
2023-09-02,bef,20230902T142721_20230902T143115_T20LNR,12,7.170333333333333,4,1,1.9123333333333334,0.5975277777777778,0.15936111111111112,374,optical,rf,2023-09-19,-17
2023-09-22,evt,20230922T142711_20230922T142743_T20LNR,12,11.331,12,1,5.547,0.9442499999999999,0.46225,374,optical,rf,2023-09-19,3
2023-10-07,aft,20231007T142709_20231007T142929_T20LNR,12,11.31,12,1,6.817,0.9425,0.5680833333333334,374,optical,rf,2023-09-19,18
