date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,11,8.345666666666666,8,1,3.444666666666667,0.7586969696969696,0.3131515151515152,135,optical,rf,2023-08-20,-112
2023-05-10,bef,20230510T142719_20230510T142819_T20LNR,11,7.692500000000001,5,1,3.2245,0.6993181818181818,0.29313636363636364,135,optical,rf,2023-08-20,-102
2023-05-15,bef,20230515T142711_20230515T142713_T20LNR,11,8.349,8,1,3.373,0.759,0.30663636363636365,135,optical,rf,2023-08-20,-97
2023-05-25,bef,20230525T142721_20230525T142853_T20LNR,11,7.892666666666667,6,1,2.758666666666667,0.7175151515151516,0.25078787878787884,135,optical,rf,2023-08-20,-87
2023-06-09,bef,20230609T142719_20230609T142938_T20LNR,11,7.758333333333334,6,1,2.884333333333333,0.7053030303030303,0.2622121212121212,135,optical,rf,2023-08-20,-72
2023-06-19,bef,20230619T142719_20230619T142934_T20LNR,11,7.8116666666666665,6,1,3.267666666666667,0.7101515151515151,0.2970606060606061,135,optical,rf,2023-08-20,-62
2023-06-24,bef,20230624T142721_20230624T142715_T20LNR,11,8.023,6,1,3.425,0.7293636363636363,0.31136363636363634,135,optical,rf,2023-08-20,-57
2023-06-29,bef,20230629T142719_20230629T143340_T20LNR,11,8.356833333333334,6,1,3.696833333333333,0.7597121212121213,0.3360757575757576,135,optical,rf,2023-08-20,-52
2023-07-04,bef,20230704T142721_20230704T142729_T20LNR,11,8.706,8,1,3.8900000000000006,0.7914545454545454,0.3536363636363637,135,optical,rf,2023-08-20,-47
2023-07-09,bef,20230709T142719_20230709T142938_T20LNR,11,8.659333333333333,6,1,3.898333333333333,0.7872121212121211,0.3543939393939394,135,optical,rf,2023-08-20,-42
2023-07-19,bef,20230719T142719_20230719T142939_T20LNR,11,8.591,8,1,3.896,0.7809999999999999,0.35418181818181815,135,optical,rf,2023-08-20,-32
2023-07-24,bef,20230724T142721_20230724T142717_T20LNR,11,8.983333333333333,10,1,3.9803333333333337,0.8166666666666665,0.36184848484848486,135,optical,rf,2023-08-20,-27
2023-07-29,bef,20230729T142719_20230729T142718_T20LNR,11,9.043,10,1,4.448,0.822090909090909,0.4043636363636364,135,optical,rf,2023-08-20,-22
2023-08-03,bef,20230803T142721_20230803T143434_T20LNR,11,9.184999999999999,10,1,3.856,0.8349999999999999,0.35054545454545455,135,optical,rf,2023-08-20,-17
2023-08-18,evt,20230818T142719_20230818T143227_T20LNR,11,8.914000000000001,9,1,4.744,0.8103636363636365,0.43127272727272725,135,optical,rf,2023-08-20,-2
2023-08-23,evt,20230823T142721_20230823T143116_T20LNR,11,9.206999999999999,10,1,4.372999999999999,0.8369999999999999,0.3975454545454545,135,optical,rf,2023-08-20,3
2023-08-28,aft,20230828T142719_20230828T142716_T20LNR,11,8.716,8,1,3.8390000000000004,0.7923636363636363,0.34900000000000003,135,optical,rf,2023-08-20,8
