date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,171,111.071,69,4,53.172999999999995,0.6495380116959064,0.310953216374269,63,joint,rf,2023-10-18,-171
2023-06-04,bef,20230604T142721_20230604T142716_T20LNR,171,117.282,121,4,64.893,0.685859649122807,0.37949122807017543,63,joint,rf,2023-10-18,-136
2023-06-14,bef,20230609T142719_20230609T142938_T20LNR,171,125.44700000000002,146,4,49.312,0.733608187134503,0.28837426900584795,63,joint,rf,2023-10-18,-126
2023-06-26,bef,20230624T142721_20230624T142715_T20LNR,171,127.045,146,4,58.366,0.742953216374269,0.3413216374269006,63,joint,rf,2023-10-18,-114
2023-07-09,bef,20230709T142719_20230709T142938_T20LNR,171,110.895,88,4,61.341,0.6485087719298246,0.35871929824561405,63,joint,rf,2023-10-18,-101
2023-07-20,bef,20230719T142719_20230719T142939_T20LNR,171,117.69500000000001,104,4,54.908,0.6882748538011696,0.3210994152046784,63,joint,rf,2023-10-18,-90
2023-08-01,bef,20230729T142719_20230729T142718_T20LNR,171,119.25200000000001,112,4,46.857,0.6973801169590644,0.2740175438596491,63,joint,rf,2023-10-18,-78
2023-08-25,bef,20230823T142721_20230823T143116_T20LNR,171,136.898,167,4,56.03999999999999,0.8005730994152046,0.32771929824561397,63,joint,rf,2023-10-18,-54
2023-10-02,bef,20231002T142711_20231002T143108_T20LNR,171,140.944,169,4,75.629,0.8242339181286549,0.4422748538011696,63,joint,rf,2023-10-18,-16
2023-11-11,aft,20231111T142711_20231111T142711_T20LNR,171,141.545,167,4,55.42899999999999,0.8277485380116958,0.3241461988304093,63,joint,rf,2023-10-18,24
