date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,14,9.768,6,1,2.8670000000000004,0.6977142857142857,0.20478571428571432,329,joint,rf,2023-09-09,-132
2023-05-10,bef,20230510T142719_20230510T142819_T20LNR,14,8.266,2,1,2.096,0.5904285714285714,0.14971428571428572,329,joint,rf,2023-09-09,-122
2023-05-25,bef,20230525T142721_20230525T142853_T20LNR,14,9.281,3,1,1.5270000000000004,0.6629285714285714,0.1090714285714286,329,joint,rf,2023-09-09,-107
2023-06-14,bef,20230609T142719_20230609T142938_T20LNR,14,9.32,4,1,2.076,0.6657142857142857,0.1482857142857143,329,joint,rf,2023-09-09,-87
2023-06-26,bef,20230624T142721_20230624T142715_T20LNR,14,8.331999999999999,3,1,2.017,0.5951428571428571,0.14407142857142857,329,joint,rf,2023-09-09,-75
2023-07-09,bef,20230709T142719_20230709T142938_T20LNR,14,8.870999999999999,3,1,2.016,0.6336428571428571,0.144,329,joint,rf,2023-09-09,-62
2023-07-20,bef,20230719T142719_20230719T142939_T20LNR,14,8.402999999999997,4,1,1.906,0.6002142857142855,0.13614285714285715,329,joint,rf,2023-09-09,-51
2023-08-03,bef,20230803T142721_20230803T143434_T20LNR,14,8.637,4,1,1.835,0.6169285714285715,0.13107142857142856,329,joint,rf,2023-09-09,-37
2023-08-18,bef,20230818T142719_20230818T143227_T20LNR,14,8.618,3,1,1.8210000000000002,0.6155714285714285,0.1300714285714286,329,joint,rf,2023-09-09,-22
2023-08-25,bef,20230823T142721_20230823T143116_T20LNR,14,8.574,5,1,1.613,0.6124285714285714,0.11521428571428571,329,joint,rf,2023-09-09,-15
2023-09-30,aft,20230927T142719_20230927T142849_T20LNR,14,13.632,14,1,10.235,0.9737142857142856,0.7310714285714285,329,joint,rf,2023-09-09,21
