date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-03-01,bef,15,9.351999999999999,2,1,1.8639999999999999,0.6234666666666666,0.12426666666666666,87,optical,rf,2023-09-13,-196
2023-04-30,bef,15,9.068166666666668,2,1,2.2001666666666666,0.6045444444444446,0.14667777777777777,87,optical,rf,2023-09-13,-136
2023-06-09,bef,15,8.456,1,1,2.3649999999999998,0.5637333333333333,0.15766666666666665,87,optical,rf,2023-09-13,-96
2023-06-19,bef,15,8.627,1,1,2.427,0.5751333333333334,0.1618,87,optical,rf,2023-09-13,-86
2023-06-24,bef,15,9.385000000000002,1,1,2.273,0.6256666666666668,0.15153333333333335,87,optical,rf,2023-09-13,-81
2023-06-29,bef,15,9.255666666666665,1,1,2.3136666666666668,0.6170444444444443,0.15424444444444446,87,optical,rf,2023-09-13,-76
2023-07-04,bef,15,8.979000000000001,2,1,2.2980000000000005,0.5986,0.15320000000000003,87,optical,rf,2023-09-13,-71
2023-07-09,bef,15,8.536499999999998,2,1,2.5025000000000004,0.5690999999999999,0.16683333333333336,87,optical,rf,2023-09-13,-66
2023-07-14,bef,15,9.284,2,1,2.285999999999999,0.6189333333333333,0.15239999999999995,87,optical,rf,2023-09-13,-61
2023-07-19,bef,15,9.189666666666668,2,1,2.6496666666666666,0.6126444444444445,0.17664444444444444,87,optical,rf,2023-09-13,-56
2023-07-24,bef,15,9.254999999999999,2,1,2.3949999999999996,0.6169999999999999,0.15966666666666665,87,optical,rf,2023-09-13,-51
2023-08-03,bef,15,10.085666666666665,3,1,2.0156666666666667,0.6723777777777776,0.1343777777777778,87,optical,rf,2023-09-13,-41
2023-08-23,bef,15,8.853333333333333,1,1,1.883333333333333,0.5902222222222222,0.12555555555555553,87,optical,rf,2023-09-13,-21
2023-08-28,bef,15,11.372166666666667,6,1,4.133166666666667,0.7581444444444444,0.2755444444444445,87,optical,rf,2023-09-13,-16
2023-09-17,evt,15,13.627499999999998,14,1,7.8325,0.9084999999999999,0.5221666666666667,87,optical,rf,2023-09-13,4
2023-09-27,aft,15,14.317000000000002,15,1,10.510000000000002,0.9544666666666668,0.7006666666666668,87,optical,rf,2023-09-13,14
2023-10-02,aft,15,14.627,15,1,11.881,0.9751333333333334,0.7920666666666667,87,optical,rf,2023-09-13,19
