date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-02-14,bef,18,10.489333333333335,0,1,2.2443333333333335,0.5827407407407408,0.12468518518518519,204,optical,rf,2023-07-25,-161
2023-04-30,bef,18,10.232416666666666,0,1,3.191416666666667,0.5684675925925925,0.17730092592592595,204,optical,rf,2023-07-25,-86
2023-05-15,bef,18,10.08625,0,1,2.5532500000000002,0.5603472222222222,0.14184722222222224,204,optical,rf,2023-07-25,-71
2023-05-25,bef,18,9.9745,0,1,2.1045000000000003,0.554138888888889,0.11691666666666668,204,optical,rf,2023-07-25,-61
2023-06-04,bef,18,10.056166666666668,0,1,2.3201666666666667,0.558675925925926,0.12889814814814815,204,optical,rf,2023-07-25,-51
2023-06-09,bef,18,10.056666666666667,0,1,2.410666666666667,0.5587037037037037,0.13392592592592595,204,optical,rf,2023-07-25,-46
2023-06-24,bef,18,11.193166666666666,1,1,2.440166666666667,0.6218425925925926,0.13556481481481483,204,optical,rf,2023-07-25,-31
2023-06-29,bef,18,10.919166666666667,1,1,2.6271666666666667,0.6066203703703704,0.1459537037037037,204,optical,rf,2023-07-25,-26
2023-07-04,bef,18,10.917166666666668,0,1,2.3181666666666674,0.6065092592592594,0.1287870370370371,204,optical,rf,2023-07-25,-21
2023-07-09,bef,18,10.898833333333334,2,1,2.6318333333333337,0.6054907407407408,0.146212962962963,204,optical,rf,2023-07-25,-16
2023-07-14,bef,18,13.061,9,1,4.284,0.7256111111111111,0.238,204,optical,rf,2023-07-25,-11
2023-07-19,evt,18,14.3565,12,1,8.7605,0.7975833333333333,0.4866944444444445,204,optical,rf,2023-07-25,-6
2023-07-24,evt,18,15.209916666666668,15,1,9.198916666666667,0.8449953703703704,0.5110509259259259,204,optical,rf,2023-07-25,-1
2023-07-29,evt,18,15.753750000000002,16,1,10.16075,0.8752083333333335,0.5644861111111111,204,optical,rf,2023-07-25,4
2023-08-08,aft,18,15.984,15,1,11.025,0.888,0.6125,204,optical,rf,2023-07-25,14
2023-08-18,aft,18,16.133750000000003,15,1,10.10875,0.8963194444444446,0.5615972222222223,204,optical,rf,2023-07-25,24
