date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-03-01,bef,10,7.067,4,1,0.747,0.7067,0.0747,15,optical,rf,2023-10-09,-222
2023-04-30,bef,10,7.43,4,1,0.9189999999999999,0.743,0.0919,15,optical,rf,2023-10-09,-162
2023-05-15,bef,10,7.372,6,1,0.7879999999999999,0.7372,0.0788,15,optical,rf,2023-10-09,-147
2023-06-04,bef,10,7.24,5,1,0.69,0.724,0.06899999999999999,15,optical,rf,2023-10-09,-127
2023-06-09,bef,10,7.16,5,1,0.746,0.716,0.0746,15,optical,rf,2023-10-09,-122
2023-06-19,bef,10,7.208,5,1,0.7689999999999999,0.7208,0.0769,15,optical,rf,2023-10-09,-112
2023-06-24,bef,10,7.295,5,1,0.851,0.7295,0.0851,15,optical,rf,2023-10-09,-107
2023-06-29,bef,10,7.1610000000000005,5,1,0.907,0.7161000000000001,0.0907,15,optical,rf,2023-10-09,-102
2023-07-04,bef,10,7.505,6,1,0.9359999999999999,0.7505,0.09359999999999999,15,optical,rf,2023-10-09,-97
2023-07-09,bef,10,7.4446666666666665,6,1,0.888,0.7444666666666666,0.0888,15,optical,rf,2023-10-09,-92
2023-07-14,bef,10,7.454,6,1,0.9299999999999999,0.7454,0.093,15,optical,rf,2023-10-09,-87
2023-07-19,bef,10,7.579000000000001,6,1,0.983,0.7579,0.0983,15,optical,rf,2023-10-09,-82
2023-07-24,bef,10,7.707,6,1,1.0150000000000001,0.7706999999999999,0.1015,15,optical,rf,2023-10-09,-77
2023-07-29,bef,10,7.663,6,1,1.067,0.7663,0.10669999999999999,15,optical,rf,2023-10-09,-72
2023-08-03,bef,10,7.803333333333334,6,1,1.2069999999999999,0.7803333333333333,0.12069999999999999,15,optical,rf,2023-10-09,-67
2023-08-23,bef,10,7.82,6,1,1.549,0.782,0.15489999999999998,15,optical,rf,2023-10-09,-47
2023-08-28,bef,10,8.177333333333333,8,1,1.762,0.8177333333333333,0.1762,15,optical,rf,2023-10-09,-42
2023-09-22,bef,10,9.066333333333333,9,1,3.96,0.9066333333333333,0.396,15,optical,rf,2023-10-09,-17
2023-10-07,evt,10,9.167333333333334,9,1,4.2700000000000005,0.9167333333333334,0.42700000000000005,15,optical,rf,2023-10-09,-2
2023-10-12,evt,10,9.668,10,1,7.819,0.9667999999999999,0.7819,15,optical,rf,2023-10-09,3
